id,col1,col2,col3,col4,className,classId
1,0.722,0.523,0.145,0.04,Iris-setosa,1
2,0.696,0.455,0.159,0.04,Iris-setosa,1
3,0.734,0.523,0.174,0.04,Iris-setosa,1
4,0.684,0.545,0.174,0.04,Iris-setosa,1
5,0.696,0.545,0.188,0.04,Iris-setosa,1
6,0.696,0.545,0.188,0.04,Iris-setosa,1
7,0.696,0.568,0.188,0.08,Iris-setosa,1
8,0.709,0.568,0.188,0.08,Iris-setosa,1
9,0.722,0.636,0.188,0.08,Iris-setosa,1
10,0.722,0.636,0.188,0.08,Iris-setosa,1
11,0.835,0.636,0.188,0.08,Iris-setosa,1
12,0.696,0.5,0.203,0.08,Iris-setosa,1
13,0.722,0.568,0.203,0.08,Iris-setosa,1
14,0.772,0.568,0.203,0.08,Iris-setosa,1
15,0.797,0.568,0.203,0.08,Iris-setosa,1
16,0.81,0.568,0.203,0.08,Iris-setosa,1
17,0.823,0.568,0.203,0.08,Iris-setosa,1
18,0.848,0.568,0.203,0.08,Iris-setosa,1
19,0.696,0.591,0.203,0.08,Iris-setosa,1
20,0.709,0.591,0.203,0.08,Iris-setosa,1
21,0.734,0.636,0.203,0.08,Iris-setosa,1
22,0.759,0.636,0.203,0.08,Iris-setosa,1
23,0.772,0.636,0.203,0.08,Iris-setosa,1
24,0.759,0.5,0.217,0.08,Iris-setosa,1
25,0.797,0.5,0.217,0.08,Iris-setosa,1
26,0.646,0.523,0.217,0.08,Iris-setosa,1
27,0.684,0.523,0.217,0.08,Iris-setosa,1
28,0.709,0.591,0.217,0.08,Iris-setosa,1
29,0.797,0.591,0.217,0.08,Iris-setosa,1
30,0.937,0.591,0.217,0.08,Iris-setosa,1
31,0.696,0.614,0.217,0.08,Iris-setosa,1
32,0.709,0.614,0.217,0.08,Iris-setosa,1
33,0.722,0.614,0.217,0.08,Iris-setosa,1
34,0.797,0.636,0.217,0.08,Iris-setosa,1
35,0.835,0.636,0.217,0.12,Iris-setosa,1
36,0.848,0.636,0.217,0.12,Iris-setosa,1
37,0.848,0.636,0.217,0.12,Iris-setosa,1
38,0.734,0.614,0.232,0.12,Iris-setosa,1
39,0.785,0.614,0.232,0.12,Iris-setosa,1
40,0.797,0.614,0.232,0.12,Iris-setosa,1
41,0.823,0.614,0.232,0.12,Iris-setosa,1
42,0.823,0.614,0.232,0.16,Iris-setosa,1
43,0.873,0.636,0.232,0.16,Iris-setosa,1
44,0.722,0.659,0.232,0.16,Iris-setosa,1
45,0.823,0.614,0.246,0.16,Iris-setosa,1
46,0.797,0.636,0.246,0.16,Iris-setosa,1
47,0.962,0.636,0.246,0.16,Iris-setosa,1
48,0.722,0.659,0.246,0.16,Iris-setosa,1
49,0.709,0.636,0.275,0.2,Iris-setosa,1
50,0.608,0.659,0.275,0.24,Iris-setosa,1
51,0.544,0.682,0.435,0.4,Iris-versicolor,2
52,0.734,0.659,0.478,0.4,Iris-versicolor,2
53,0.734,0.659,0.478,0.4,Iris-versicolor,2
54,0.734,0.659,0.507,0.4,Iris-versicolor,2
55,0.747,0.659,0.507,0.4,Iris-versicolor,2
56,0.734,0.682,0.522,0.4,Iris-versicolor,2
57,0.759,0.659,0.536,0.4,Iris-versicolor,2
58,0.557,0.682,0.551,0.44,Iris-versicolor,2
59,0.595,0.682,0.565,0.44,Iris-versicolor,2
60,0.608,0.682,0.565,0.44,Iris-versicolor,2
61,0.861,0.682,0.565,0.48,Iris-versicolor,2
62,0.81,0.659,0.58,0.48,Iris-versicolor,2
63,0.633,0.682,0.58,0.48,Iris-versicolor,2
64,0.747,0.682,0.58,0.48,Iris-versicolor,2
65,0.759,0.682,0.58,0.48,Iris-versicolor,2
66,0.759,0.682,0.58,0.52,Iris-versicolor,2
67,0.823,0.659,0.594,0.52,Iris-versicolor,2
68,0.772,0.682,0.594,0.52,Iris-versicolor,2
69,0.785,0.682,0.594,0.52,Iris-versicolor,2
70,0.646,0.682,0.609,0.52,Iris-versicolor,2
71,0.797,0.682,0.609,0.52,Iris-versicolor,2
72,0.797,0.682,0.609,0.52,Iris-versicolor,2
73,0.57,0.705,0.609,0.52,Iris-versicolor,2
74,0.81,0.682,0.623,0.52,Iris-versicolor,2
75,0.81,0.682,0.623,0.52,Iris-versicolor,2
76,0.709,0.682,0.638,0.52,Iris-versicolor,2
77,0.81,0.682,0.638,0.52,Iris-versicolor,2
78,0.861,0.682,0.638,0.52,Iris-versicolor,2
79,0.873,0.682,0.638,0.56,Iris-versicolor,2
80,0.848,0.682,0.652,0.56,Iris-versicolor,2
81,0.62,0.705,0.652,0.56,Iris-versicolor,2
82,0.633,0.705,0.652,0.56,Iris-versicolor,2
83,0.747,0.705,0.652,0.56,Iris-versicolor,2
84,0.772,0.705,0.652,0.56,Iris-versicolor,2
85,0.772,0.705,0.652,0.56,Iris-versicolor,2
86,0.975,0.705,0.71,0.56,Iris-versicolor,2
87,0.582,0.727,0.652,0.6,Iris-versicolor,2
88,0.848,0.727,0.652,0.6,Iris-versicolor,2
89,0.848,0.682,0.667,0.6,Iris-versicolor,2
90,0.886,0.682,0.667,0.6,Iris-versicolor,2
91,0.81,0.705,0.667,0.6,Iris-versicolor,2
92,0.722,0.682,0.681,0.6,Iris-versicolor,2
93,0.924,0.682,0.681,0.6,Iris-versicolor,2
94,0.557,0.705,0.681,0.6,Iris-versicolor,2
95,0.848,0.705,0.681,0.6,Iris-versicolor,2
96,0.595,0.727,0.681,0.6,Iris-versicolor,2
97,0.911,0.727,0.71,0.6,Iris-versicolor,2
98,0.62,0.75,0.71,0.6,Iris-versicolor,2
99,0.557,0.705,0.696,0.64,Iris-versicolor,2
100,0.633,0.727,0.696,0.64,Iris-versicolor,2
101,0.899,0.727,0.696,0.64,Iris-virginica,3
102,0.658,0.773,0.71,0.64,Iris-virginica,3
103,0.911,0.727,0.696,0.68,Iris-virginica,3
104,0.608,0.727,0.725,0.68,Iris-virginica,3
105,0.873,0.705,0.71,0.72,Iris-virginica,3
106,0.772,0.727,0.725,0.72,Iris-virginica,3
107,0.633,0.773,0.725,0.72,Iris-virginica,3
108,0.671,0.773,0.725,0.72,Iris-virginica,3
109,0.608,0.727,0.739,0.72,Iris-virginica,3
110,0.797,0.727,0.739,0.72,Iris-virginica,3
111,0.684,0.75,0.739,0.72,Iris-virginica,3
112,0.633,0.773,0.739,0.72,Iris-virginica,3
113,0.646,0.773,0.739,0.72,Iris-virginica,3
114,0.785,0.773,0.739,0.72,Iris-virginica,3
115,0.633,0.841,0.739,0.72,Iris-virginica,3
116,0.658,0.886,0.739,0.72,Iris-virginica,3
117,0.911,0.773,0.754,0.76,Iris-virginica,3
118,0.658,0.841,0.754,0.76,Iris-virginica,3
119,0.646,0.773,0.768,0.76,Iris-virginica,3
120,0.633,0.864,0.768,0.76,Iris-virginica,3
121,0.62,0.795,0.783,0.76,Iris-virginica,3
122,0.646,0.864,0.783,0.8,Iris-virginica,3
123,0.785,0.75,0.797,0.8,Iris-virginica,3
124,0.861,0.75,0.797,0.8,Iris-virginica,3
125,0.633,0.795,0.797,0.8,Iris-virginica,3
126,0.759,0.727,0.812,0.8,Iris-virginica,3
127,0.975,0.75,0.812,0.8,Iris-virginica,3
128,0.646,0.795,0.812,0.84,Iris-virginica,3
129,0.62,0.818,0.812,0.84,Iris-virginica,3
130,0.684,0.886,0.812,0.84,Iris-virginica,3
131,0.582,0.909,0.812,0.84,Iris-virginica,3
132,0.646,0.795,0.826,0.84,Iris-virginica,3
133,0.646,0.864,0.826,0.84,Iris-virginica,3
134,0.582,0.932,0.826,0.88,Iris-virginica,3
135,0.81,0.727,0.841,0.88,Iris-virginica,3
136,0.975,0.75,0.841,0.88,Iris-virginica,3
137,1,0.818,0.841,0.92,Iris-virginica,3
138,0.684,0.795,0.855,0.92,Iris-virginica,3
139,0.684,0.864,0.855,0.92,Iris-virginica,3
140,0.62,0.773,0.87,0.92,Iris-virginica,3
141,0.62,0.955,0.87,0.92,Iris-virginica,3
142,0.646,0.773,0.884,0.92,Iris-virginica,3
143,0.848,0.864,0.884,0.92,Iris-virginica,3
144,0.658,1,0.884,0.92,Iris-virginica,3
145,0.633,0.773,0.913,0.96,Iris-virginica,3
146,0.975,0.773,0.928,0.96,Iris-virginica,3
147,0.582,0.818,0.957,0.96,Iris-virginica,3
148,0.608,0.795,0.971,1,Iris-virginica,3
149,0.633,0.841,0.971,1,Iris-virginica,3
150,0.873,0.864,1,1,Iris-virginica,3
